time,target_joint_0_pos,target_joint_0_vel,target_joint_0_acceleration,target_joint_1_pos,target_joint_1_vel,target_joint_1_acceleration,target_joint_2_pos,target_joint_2_vel,target_joint_2_acceleration,target_joint_3_pos,target_joint_3_vel,target_joint_3_acceleration,target_joint_4_pos,target_joint_4_vel,target_joint_4_acceleration,target_joint_5_pos,target_joint_5_vel,target_joint_5_acceleration,
1763636823.700431347,1.570796327,0.000000000,0.000000000,-2.443460953,0.000000000,0.000000000,2.443460953,0.000000000,0.000000000,-1.570796327,0.000000000,0.000000000,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636823.702586174,1.570797229,0.000902364,0.451181915,-2.443458979,0.001973921,0.986960440,2.443459825,-0.001127955,-0.563977394,-1.570797173,-0.000845966,-0.422983046,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636823.704327345,1.570799936,0.001804727,0.451181915,-2.443453057,0.003947841,0.986960440,2.443456441,-0.002255909,-0.563977394,-1.570799711,-0.001691932,-0.422983046,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636823.706730843,1.570804448,0.002707089,0.451181915,-2.443443188,0.005921758,0.986960440,2.443450801,-0.003383861,-0.563977394,-1.570803940,-0.002537896,-0.422983046,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636823.708401442,1.570810765,0.003609449,0.451181915,-2.443429370,0.007895669,0.986960440,2.443442906,-0.004511811,-0.563977394,-1.570809862,-0.003383858,-0.422983046,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636823.710678101,1.570818886,0.004511805,0.451181915,-2.443411605,0.009869574,0.986960440,2.443432754,-0.005639756,-0.563977394,-1.570817476,-0.004229817,-0.422983046,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636823.712588310,1.570828812,0.005414157,0.451181915,-2.443389892,0.011843469,0.986960440,2.443420347,-0.006767697,-0.563977394,-1.570826781,-0.005075772,-0.422983046,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636823.714782715,1.570840542,0.006316505,0.451181915,-2.443364232,0.013817354,0.986960440,2.443405684,-0.007895631,-0.563977394,-1.570837779,-0.005921723,-0.422983046,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636823.716874838,1.570854077,0.007218846,0.451181915,-2.443334624,0.015791226,0.986960440,2.443388765,-0.009023558,-0.563977394,-1.570850468,-0.006767668,-0.422983046,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
1763636823.719033718,1.570869417,0.008121181,0.451181915,-2.443301069,0.017765084,0.986960440,2.443369591,-0.010151477,-0.563977394,-1.570864848,-0.007613608,-0.422983046,1.570796327,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,
