time,h_min,d_min,trajectory_error,pos_ee_x,pos_ee_y,pos_ee_z,vel_ee_x,vel_ee_y,vel_ee_z,v_rel_min,scaling
1763636823.766360044,0.119565106,0.754891687,0.012681633,-0.039082250,-0.113088052,1.364516550,-0.136180283,-0.014610529,-0.071866026,-0.777334918,0.999715190,
1763636823.768415928,0.137634130,0.755820726,0.013250273,-0.039349668,-0.113117278,1.364374183,-0.131237036,-0.014615846,-0.070502636,-0.770514364,0.999716355,
1763636823.770334005,0.155630915,0.756756284,0.013801205,-0.039606352,-0.113146458,1.364234869,-0.125446911,-0.014565060,-0.068812572,-0.764352741,0.999719692,
1763636823.772413731,0.173359659,0.757689922,0.014331368,-0.039850616,-0.113175479,1.364099255,-0.118816091,-0.014457124,-0.066802413,-0.758964978,0.999725302,
1763636823.774437189,0.190804658,0.758619499,0.014837745,-0.040080793,-0.113204227,1.363967972,-0.111359971,-0.014291412,-0.064482469,-0.754345408,0.999733282,
1763636823.777140141,0.208035818,0.759546026,0.015317379,-0.040295248,-0.113232585,1.363841628,-0.103094334,-0.014067378,-0.061862817,-0.750433712,0.999743736,
1763636823.779424906,0.225053627,0.760468068,0.015767369,-0.040492374,-0.113260436,1.363720815,-0.094031134,-0.013784311,-0.058951642,-0.747216917,0.999756762,
1763636823.781653404,0.241856155,0.761384112,0.016184857,-0.040670589,-0.113287661,1.363606108,-0.084181948,-0.013441468,-0.055756856,-0.744684225,0.999772461,
1763636823.783598423,0.258470386,0.762293742,0.016567032,-0.040828330,-0.113314139,1.363498066,-0.073558102,-0.013038070,-0.052286225,-0.742806777,0.999786148,
1763636823.785485983,0.275466775,0.763217235,0.016911323,-0.040963964,-0.113339279,1.363397009,-0.062075283,-0.012102698,-0.048771512,-0.740729795,0.999801272,
1763636823.787679434,0.291724160,0.764098062,0.017216695,-0.041076724,-0.113362607,1.363302955,-0.050683956,-0.011226169,-0.045284186,-0.739063496,0.999819000,
1763636823.789687157,0.308156634,0.764967416,0.017483741,-0.041167035,-0.113384410,1.363215845,-0.039626526,-0.010577777,-0.041825909,-0.737215100,0.999839114,
1763636823.791799545,0.313684906,0.765890287,0.017713279,-0.041235497,-0.113405099,1.363135629,-0.028834669,-0.010111280,-0.038390472,-0.734704854,0.999861433,
1763636823.794918537,0.318190128,0.766932140,0.017905957,-0.041282587,-0.113424999,1.363062267,-0.018253967,-0.009789951,-0.034972717,-0.732364929,0.999883413,
1763636823.797364235,0.325108121,0.768182766,0.018063611,-0.041309389,-0.113444370,1.362995431,-0.008547574,-0.009581284,-0.031863126,-0.726149003,0.999901299,
1763636823.800006866,0.331782483,0.769309221,0.018191193,-0.041318620,-0.113463408,1.362934091,-0.000683613,-0.009457024,-0.029476347,-0.719547233,0.999915833,
1763636823.802583456,0.340611412,0.770593109,0.018294806,-0.041313593,-0.113482265,1.362876950,0.005711468,-0.009399849,-0.027665070,-0.709150411,0.999927622,
1763636823.804863930,0.349055104,0.771775591,0.018379316,-0.041296946,-0.113501060,1.362822972,0.010935541,-0.009396038,-0.026312098,-0.698832242,0.999937166,
1763636823.806971788,0.356651264,0.772816475,0.018448602,-0.041270785,-0.113519891,1.362771336,0.015226119,-0.009434714,-0.025324151,-0.689387008,0.999944874,
1763636823.809717655,0.366204806,0.774039405,0.018505756,-0.041236786,-0.113538833,1.362721385,0.018772570,-0.009507245,-0.024626960,-0.676684922,0.999951084,
1763636823.811189413,0.375017934,0.775151833,0.018553243,-0.041196288,-0.113557947,1.362672596,0.021725878,-0.009606781,-0.024161375,-0.664824584,0.999956069,
1763636823.813152790,0.382999222,0.776147864,0.018593027,-0.041150356,-0.113577281,1.362624554,0.024206413,-0.009727877,-0.023880277,-0.654003126,0.999960055,
1763636823.815226555,0.391175134,0.777149052,0.018626675,-0.041099839,-0.113596875,1.362576928,0.026310139,-0.009866208,-0.023746123,-0.642709694,0.999963227,
1763636823.817540407,0.399515285,0.778156689,0.018655435,-0.041045416,-0.113616760,1.362529453,0.028113564,-0.010018337,-0.023728996,-0.631016401,0.999965735,
1763636823.819681883,0.407989203,0.779171094,0.018680303,-0.040987625,-0.113636959,1.362481918,0.029677677,-0.010181532,-0.023805052,-0.618990044,0.999967702,
1763636823.821681499,0.416544357,0.780189205,0.018702071,-0.040926896,-0.113657494,1.362434158,0.031051104,-0.010353619,-0.023955285,-0.606727085,0.999969228,
1763636823.823739767,0.425188695,0.781214396,0.018721371,-0.040863572,-0.113678381,1.362386038,0.032272606,-0.010532872,-0.024164546,-0.594228123,0.999970396,
1763636823.826019287,0.432777112,0.782438625,0.018738709,-0.040797927,-0.113699631,1.362337453,0.033373087,-0.010717919,-0.024420755,-0.580301798,0.999971272,
1763636823.828467607,0.439757416,0.784030626,0.018754485,-0.040730177,-0.113721257,1.362288317,0.034377182,-0.010907669,-0.024714283,-0.563239031,0.999971911,
