number,values_0,values_1,params_delta_deg,params_gamma,state
0,0.0334,0.13607573777045062,4.951360230512429,4.980742939166726,COMPLETE
1,0.0374,0.13247903925029186,4.968990607842428,4.624970935778244,COMPLETE
2,0.0358,0.1416071190074479,4.949672167968977,5.365594404695935,COMPLETE
3,0.0438,0.13599938712878562,4.92476782590774,4.7913772407684325,COMPLETE
4,0.0428,0.13851208032264564,4.909831156208937,4.870051594050138,COMPLETE
5,0.0388,0.13867109256212667,4.902719477490666,5.3609067387380325,COMPLETE
6,0.0372,0.13620751292405744,4.939146433435572,5.031625754325391,COMPLETE
7,0.0372,0.13979380737404834,4.927799809090782,5.3360556703492374,COMPLETE
8,0.034,0.1324348157272175,4.949620488058253,4.755846556890021,COMPLETE
9,0.0358,0.13734416083186732,4.998935734335113,5.465747463942635,COMPLETE
