number,values_0,values_1,params_delta_deg,params_gamma,state
0,0.256297481007597,0.11012040997710838,4.939738295850114,5.056081286631258,COMPLETE
1,0.2762894842063175,0.08140270288454209,4.935760345253459,4.5754890080950155,COMPLETE
2,0.2642942822870852,0.08828080893969277,4.917064634947854,5.113876449739452,COMPLETE
3,0.24030387844862056,0.0981334835952808,4.945894837654067,5.469136176633889,COMPLETE
4,0.2642942822870852,0.09340504680081319,4.906735073319132,5.3993612775005895,COMPLETE
5,0.2646941223510596,0.08885852513988592,4.953254093895312,5.1378289517377285,COMPLETE
6,0.27668932427029186,0.11710176679256178,4.975295660425373,5.238230493618871,COMPLETE
7,0.2574970011995202,0.09272818577765225,4.914038462416085,4.698845237104799,COMPLETE
8,0.2730907636945222,0.08494265268359348,4.913864848445272,4.647856170646638,COMPLETE
9,0.2686925229908037,0.10157243626292643,4.979706004082252,5.017474186011027,COMPLETE
