number,values_0,values_1,params_lambda1,params_lambda2,params_lambda3,state
0,0.3514432371175255,0.01791647947037155,119.74627920977781,0.33618508617228005,0.19186237533118813,COMPLETE
1,0.3459102726484901,0.015715685827441227,0.01266823364506068,0.011818266667056865,0.05974460245993746,COMPLETE
2,0.3295113659089394,0.021519602354088327,265.12151038057925,8.05250606137426,9.325014295204094,COMPLETE
3,0.3673088460769282,0.02086958366514876,4.158185645638728,164.43422889425912,27.440789817741177,COMPLETE
4,0.35337644157056197,0.01991499608639707,0.03111833995061699,15.697089865817073,6.146310246723496,COMPLETE
5,0.3519765348976735,0.016527189404067045,0.09858442951334098,0.003608098542855622,0.02073696844856831,COMPLETE
6,0.3467102193187121,0.022310998542442666,0.037555702404925714,10.043967499597517,43.53241490697324,COMPLETE
7,0.34497700153323113,0.01665047936313012,3.670302886420274,0.015037173046285318,35.2226795071819,COMPLETE
8,0.34831011265915607,0.01985514919273856,326.4035371084049,277.09584108930943,0.002916074991381778,COMPLETE
9,0.3721751883207786,0.024986172563162067,873.1526177571769,0.11755009196745579,4.4851952500349945,COMPLETE
10,0.35430971268582095,0.023903846890412094,0.13374880467391476,8.250770170808956,0.013947443002263747,COMPLETE
11,0.352443170455303,0.019207916272800312,5.501810748196607,0.0028366034911346746,0.03423426977025106,COMPLETE
12,0.3533097793480435,0.02267141698899991,4389.681536130235,324.17456501740605,38.357490619822705,COMPLETE
13,0.3515765615625625,0.01867321114347996,0.42361882331282286,0.7598583115513236,0.10620228959339453,COMPLETE
14,0.3371108592760483,0.033002572594032824,921.6324218112452,0.0141197925694383,0.00037247024451328605,COMPLETE
15,0.350576628224785,0.022500861821636967,7971.980216785966,2.928599482588129,1.2988340224043218,COMPLETE
16,0.34391040597293515,0.024782975715797104,36.69142648929216,0.004255445865679651,0.21121672754190535,COMPLETE
17,0.3473768415438971,0.02476419059683867,7770.647264440213,1.7553708996959754,1.7168258157745666,COMPLETE
18,0.3560429304713019,0.021957818710837802,190.98263539189642,0.10999021794368077,0.1188925139740776,COMPLETE
19,0.34964335710952604,0.01626475341162715,0.18937498797376098,0.8616627274834103,0.00025348952963643294,COMPLETE
20,0.33264449036730886,0.023976727206845322,3.8177615830976683,25.78007892201548,0.002321377368166416,COMPLETE
21,0.3510432637824145,0.02710218953021472,8.224266399158536,0.010278560068641458,60.35834393792696,COMPLETE
22,0.3575094993667089,0.020830775987619114,1.7665262839663332,85.18878419501763,16.393976232246565,COMPLETE
23,0.3400439970668622,0.018377782828349575,50.16602960608112,46.30832603329559,10.150127813922811,COMPLETE
24,0.32931137924138393,0.02642970939762097,2740.7340047017933,0.0460343044685777,0.002776761836693331,COMPLETE
