number,values_0,values_1,params_delta_deg,params_gamma,state
0,0.14042978510744628,0.36535518466860073,4.944347695010635,5.207609651496848,COMPLETE
1,0.1629185407296352,0.3827055429837794,4.916622428624223,5.419447372185447,COMPLETE
2,0.1409295352323838,0.37629511859106046,4.95414955977476,5.131282651099688,COMPLETE
3,0.14142928535732133,0.37203959238601325,4.989655591305698,5.2107313152246615,COMPLETE
4,0.17641179410294852,0.37549082822396446,4.90102406876921,5.1074915252513415,COMPLETE
5,0.14142928535732133,0.11703312090434291,4.9549128275474965,4.510347399945635,COMPLETE
6,0.16991504247876063,0.2493003303332385,4.99931951836021,4.586657539185091,COMPLETE
7,0.16741629185407297,0.3709782411286281,4.936769698302092,5.086560465271282,COMPLETE
8,0.13093453273363317,0.37215422849394136,4.904176470224066,5.014582366132747,COMPLETE
9,0.17641179410294852,0.3668424811624849,4.963020286810982,5.064258724986907,COMPLETE
