number,values_0,values_1,params_lambda1,params_lambda3,state
0,0.0,0.07624992496016587,0.0823774935982339,0.5281191555208476,COMPLETE
1,0.0,0.07492384582538053,7331.0147918883895,0.025709443136546162,COMPLETE
2,0.0,0.06789658653652089,0.7450232674255967,10.676705794926795,COMPLETE
3,0.0,0.07168869447856534,180.62715670971428,13.97999915443519,COMPLETE
4,0.0,0.06790384686513976,1586.2314080858619,0.23139670972789375,COMPLETE
5,0.0,0.0663449202338965,263.5314377954919,12.7574046685481,COMPLETE
6,0.0,0.06776968551914529,40.89172374751404,25.19151888615942,COMPLETE
7,0.0,0.0745315968160562,0.11336895366420673,0.02375941158819946,COMPLETE
8,0.0,0.07424763568668542,0.6225187772567919,0.004046246254916541,COMPLETE
9,0.0,0.07242240488565488,24.46777427500804,1.2472745141637447,COMPLETE
10,0.0,0.07082316469139055,3415.368978530252,0.009295220297708282,COMPLETE
11,0.0,0.06934978405259266,0.14425120428102606,0.38073062328454665,COMPLETE
12,0.0,0.07338801045612699,6052.7332849440345,5.038754747464007,COMPLETE
13,0.0,0.06945824205214762,587.1847557328076,0.23656511558878318,COMPLETE
14,0.0,0.07211360538231931,0.5123012963047274,14.270659259215694,COMPLETE
15,0.0,0.07834088136914318,4.192998761144268,1.7141506082599618,COMPLETE
16,0.0,0.07695984099259004,0.014966052888874438,2.8568377367341515,COMPLETE
17,0.0,0.07188470998111898,0.033108061315623466,2.2096857965058256,COMPLETE
18,0.0,0.05897436772387705,1288.1500253465642,0.00011461296330832796,COMPLETE
19,0.0,0.06740385192750208,3.497043803522203,0.00025584518116151004,COMPLETE
20,0.0,0.07653590646703405,7.479015105083923,0.00017205335451432493,COMPLETE
21,0.0,0.07324067324316019,157.41704231410233,2.3071607818234807,COMPLETE
22,0.0,0.06928383481476297,6.577254312266043,0.058103492598374384,COMPLETE
23,0.0,0.0715919586334222,0.16531503360664604,0.013624577642684724,COMPLETE
24,0.0,0.0688799093972188,16.404334753100382,6.505594000042856,COMPLETE
25,0.0,0.06774224492975,0.054330023608630755,0.009371321468043982,COMPLETE
26,0.0,0.07869039025862998,83.79414807568077,0.002291512878983546,COMPLETE
27,0.0,0.07208076281276127,3.816514400733927,0.17457468596711928,COMPLETE
28,0.0,0.07685258418735721,3.3763508319201603,39.24491990813462,COMPLETE
29,0.0,0.07083343284955859,128.7276491040635,50.588144148660014,COMPLETE
30,0.0,0.08158233541801367,2525.2992654679647,0.00042671146486399135,COMPLETE
31,0.0,0.07900436135721188,809.1791309266355,0.0022813939542548544,COMPLETE
32,0.0,0.08687332215564725,0.14175848225886795,0.28557412444415503,COMPLETE
33,0.0,0.08973954411850688,167.24127039872647,0.6281973192600224,COMPLETE
34,0.0,0.13064177348190095,49.76220198678533,0.06170046976955652,COMPLETE
35,0.0,0.15005238885104472,3.6670946760424137,0.007987577931521262,COMPLETE
36,0.0,0.12889529355715088,0.6548786898411818,14.883592442676997,COMPLETE
37,0.0,0.08048260885924073,466.9000005449334,0.002612942007719671,COMPLETE
38,0.0,0.07788020829157533,0.6525572493615062,0.4925704587555795,COMPLETE
39,0.0,0.07599411135165861,623.1277425322068,0.006159972423348942,COMPLETE
40,0.0,0.07313950559998562,0.018901911159798987,16.41219491294407,COMPLETE
41,0.0,0.07229782869619102,0.1624816330112394,26.743007428150914,COMPLETE
42,0.0,0.07617387456117625,191.38229069060432,0.00039191815750602867,COMPLETE
43,0.0,0.06638783749054666,344.67134888877575,2.4062311085378494,COMPLETE
44,0.0,0.07187478067675347,1.1789832263501625,15.744825533634081,COMPLETE
45,0.0,0.07432454615880092,189.85980521194122,0.00013652725825945573,COMPLETE
46,0.0,0.07450125419647546,0.03182200997009388,0.6960397041313889,COMPLETE
47,0.0,0.07299470393452617,0.4912509099531884,1.2623936025023779,COMPLETE
48,0.0,0.06998332526251681,4467.969869127375,0.4856549510739139,COMPLETE
49,0.0,0.0757849590231606,5.410963465355921,94.7155176854975,COMPLETE
50,0.0,0.07760567973766626,0.24084783188691805,0.2669565145838075,COMPLETE
51,0.0,0.07325104651254123,42.98873457896284,11.335827753590237,COMPLETE
52,0.0,0.07628634675343116,0.1667846706799792,0.16881892757988126,COMPLETE
53,0.0,0.07053293389005419,0.2905438113531972,0.0022121912976436294,COMPLETE
54,0.0,0.07199861407274404,44.15161951230622,0.012302352015935264,COMPLETE
55,0.0,0.07059751553074797,53.32817602886549,0.012313985776374667,COMPLETE
56,0.0,0.06995019910099075,1.4430852417217535,57.78639659898936,COMPLETE
57,0.0,0.07253964174773196,5.519790856220577,0.07199590660260202,COMPLETE
58,0.0,0.06633964705316209,2607.360788264959,0.000598779423024051,COMPLETE
59,0.0,0.07828541796880513,654.4307746826267,0.0006518349053909588,COMPLETE
60,0.0,0.0727882297555598,9.932786810857746,4.580026673292969,COMPLETE
61,0.0,0.07177534932305082,0.015453690887409636,0.02919229528907902,COMPLETE
