number,values_0,values_1,params_delta_deg,params_gamma,params_lambda1,params_lambda3,state
0,0.0796,0.29661893489043206,7.466104260050497,1.6705974543865034,0.02538900808440516,0.24133690159984034,COMPLETE
1,0.0913,0.35053618187103885,2.596437355274286,5.310472980773323,0.14105665628727165,3.624518789722739,COMPLETE
2,0.1276,0.6716294533353699,3.563698108933897,6.872208690066344,572.7284543742186,0.05610871420871274,COMPLETE
3,0.1238,0.6978217264466651,5.561181509172287,7.795649162862653,157.76472984301373,0.08614457198150818,COMPLETE
4,0.1009,0.6398884285382012,5.5150049043702545,6.375236854260541,30.54779366423335,0.5985950343657075,COMPLETE
5,0.10225,0.20163032525213512,0.6172535427226684,1.6685243788788928,8.529295686269778,0.10753035396836841,COMPLETE
6,0.11755,0.6067029237825317,6.373220028764386,2.6165637316925068,1726.8598499372624,69.37427279487777,COMPLETE
7,0.0662,0.20763099609838864,6.228153096296031,1.0494278839365214,0.9749595627776878,0.019518614897246274,COMPLETE
8,0.11605,0.6068105349744357,5.648344185544544,4.256982401260227,0.12426726828676826,0.022329527760628305,COMPLETE
9,0.13385,0.28388693229312895,1.6806813376657945,9.411448401096534,273.94632499472834,0.01333862594826848,COMPLETE
10,0.09735,0.20977040830269922,1.8555996032267388,1.4706851740259606,0.590625629023177,0.04391670121755487,COMPLETE
11,0.0918,0.2654439689688681,2.445656565334105,2.046621328207407,10.663792943386317,0.37899801721319787,COMPLETE
12,0.10765,0.3976247909662859,0.6501390125994883,3.834251196536236,2022.4284041722115,3.835844418358415,COMPLETE
13,0.11305,0.527606572099717,3.2535597786937265,3.5462976791544953,552.0532581997185,7.062579976457381,COMPLETE
14,0.11495,0.6239253734690697,6.4327845822812355,2.395863875504564,1433.6859436079505,79.88179341733795,COMPLETE
15,0.0919,0.11234321860958807,1.070700982585878,1.1824222188442066,0.07181546562881545,0.4777337991013341,COMPLETE
16,0.1269,0.5789423960466363,3.1421442185484896,3.527896999516271,4792.464316739701,3.6737160755706766,COMPLETE
17,0.1103,0.5710824796046924,4.593311846962319,9.276524832853482,22.404802370853613,0.7867467306386959,COMPLETE
18,0.1119,0.5350148207868315,2.9960933044121676,3.636861807859614,928.0691358012833,0.013256607997446958,COMPLETE
19,0.0908,0.4046537045017461,2.331581812460897,8.548323964814713,0.06363584545345846,50.394466226004596,COMPLETE
20,0.10055,0.321071900696431,1.80081579562787,1.808206232949079,0.19378061715881154,0.02383662817864222,COMPLETE
21,0.1258,0.4997419973769857,1.8082215922428297,7.986959133671966,206.97644820492854,10.024286145402035,COMPLETE
22,0.1292,0.5539941267066316,1.6185963901965041,4.1586569508846685,4772.15388837701,0.013744588585769928,COMPLETE
23,0.104,0.5442073271545541,1.2464461612664937,6.776081133103234,472.53321985754735,1.4874310019960524,COMPLETE
24,0.08855,0.2898433948102014,2.42848823335437,1.8943260575893233,0.17363936680345932,0.11576607187846226,COMPLETE
25,0.14015,0.7441007613668433,3.9263853480036732,6.997691793670614,6918.474747767029,0.09277540282070948,COMPLETE
26,0.11285,0.5773709879986303,3.978114881758379,5.486508696408005,0.011260104752787463,0.0623631790206634,COMPLETE
27,0.1206,0.371358866000073,0.9051880720188049,2.7953589641653553,0.08966993501391612,0.03255547902522131,COMPLETE
28,0.0941,0.4693981486931142,6.743337396038037,1.4022913402036523,1136.9451617293491,21.06244841510019,COMPLETE
29,0.08295,0.2909918614405223,3.0106057652043923,2.9149538972511664,0.014707970623769872,0.6499917104826919,COMPLETE
30,0.0974,0.4072784134868701,1.8892823822974358,5.600304491850606,53.18440558386166,23.35585477562936,COMPLETE
31,0.0927,0.18409383283164338,1.878577420324864,1.6281651179671892,0.19353032789830518,0.22696864983299098,COMPLETE
32,0.0783,0.2847541491204028,5.608567316603186,2.6851029970103544,0.013312218698214922,13.846907547344033,COMPLETE
33,0.1,0.41289874832683715,1.725904925943869,2.4338622860693446,874.1330303163832,10.475882099332132,COMPLETE
34,0.0876,0.2138368152932711,4.419840123160088,1.5945809847216492,0.3448706967670991,0.18406866225157814,COMPLETE
