number,values_0,values_1,params_delta_deg,params_gamma,state
0,0.16395,0.0830745854948886,4.9310650135477605,4.971682195583457,COMPLETE
1,0.1687,0.08388340888685909,4.919561883598667,4.860987062797401,COMPLETE
2,0.1687,0.07779460471755703,4.998565965833234,4.9953683398119795,COMPLETE
3,0.1721,0.07910611359911784,4.91967712705238,4.554750159312744,COMPLETE
4,0.17045,0.07826356654182941,4.991227697802948,4.551231081375073,COMPLETE
5,0.16975,0.07834494187160661,4.905263316795049,4.548213549038833,COMPLETE
6,0.16395,0.08131312374688757,4.94424354192581,5.183059710595823,COMPLETE
7,0.1659,0.0820953120157159,4.934201768554844,5.000260580209321,COMPLETE
8,0.1672,0.07930077242604869,4.9638765823150095,4.556445846784981,COMPLETE
9,0.1661,0.07967517765042005,4.917717823493862,5.000662941875187,COMPLETE
