number,values_0,values_1,params_delta_deg,params_gamma,state
0,0.0,0.9999999984543756,4.932272531471607,5.067025415685138,COMPLETE
1,0.0,0.9999999984543756,4.917266517674907,4.849925408518696,COMPLETE
2,0.0,0.9999999984543756,4.928696229179066,4.630292500958292,COMPLETE
3,0.0,0.9999999984543756,4.966911711699546,5.304813525857804,COMPLETE
4,0.0,0.9999999984543756,4.93674403656814,4.553437377993144,COMPLETE
5,0.0,0.9999999984543756,4.925589121127681,4.6684244615287245,COMPLETE
6,0.0,0.9999999984543756,4.940197553254283,5.188042161471087,COMPLETE
7,0.0,0.9999999984543756,4.930539960309633,4.60884959967286,COMPLETE
8,0.0,0.9999999984543756,4.91798215945749,5.1944097705935235,COMPLETE
9,0.0,0.9999999984543756,4.920463727862586,4.732278501759914,COMPLETE
