number,values_0,values_1,params_delta_deg,params_gamma,params_lambda1,params_lambda2,params_lambda3,params_lambda4,state
0,0.0717,0.4566387887624206,4.865275576798517,2.068129262699274,0.013838605241580204,10.13342944592238,0.0247605531247782,1.4411310191528362e-14,COMPLETE
1,0.06875,0.302489790514708,6.9723083356448035,7.17211618019438,0.020393106282222583,0.002042036494987143,0.01040475471417699,2.577192200796009e-07,COMPLETE
2,0.04545,0.39714623128999055,5.686980021608849,2.5118580794078285,1.9562826277387932,3.858204027730059,59.2437895529571,2.1811143402963018e-10,COMPLETE
3,0.0507,0.06847137796105499,1.7387701998600082,1.5146155007856774,7.909260063592464,11.041415880742008,0.0102563780405892,4.1847497619207025e-05,COMPLETE
4,0.08355,0.31384586416055466,5.311584325799216,7.7810916339596,122.89461118334582,1.7010530376608834,0.011164497812863232,1.46355092508407e-09,COMPLETE
5,0.1044,0.6469620366352983,2.9625252062896905,7.089131202151849,5457.162941500747,0.3714179992992042,64.65197685190385,7.193768872281646e-06,COMPLETE
6,0.04465,0.29600492747498763,4.797597292147365,1.7519510271087413,1.8442663426239594,5.054984284069897,76.57127726580364,1.6894010759859846e-13,COMPLETE
7,0.07525,0.14406139829784173,6.943625321882633,1.278900300298122,0.27330711513507566,0.04789428503857981,0.8905073895997795,0.00011992136178214795,COMPLETE
8,0.077,0.1541528151459843,5.420095072840656,1.559890411544008,6.309621892159185,0.34183577171993124,1.3182212929843344,0.003979596728292387,COMPLETE
9,0.08755,0.4983485623816058,0.3755559762776226,9.321985708640046,199.3421825312387,0.020030895601175654,0.0865894314002392,2.4587778031103135e-13,COMPLETE
10,0.07805,0.1087613296255718,3.648784836030647,1.2040091754117725,3.485140712945967,0.026259923360087825,2.3867180847560436,0.004310144407388657,COMPLETE
11,0.0512,0.3442486863152575,6.485051657135356,1.466936536214113,0.33899932252483383,0.5218478141839406,0.03019843517815248,6.84161446778786e-11,COMPLETE
12,0.0705,0.26703561918434204,4.017358842836631,2.2954584706321235,29.972009288600017,0.48931201159270643,0.0946298025542308,3.3314287935856114e-05,COMPLETE
13,0.072,0.32394847314029757,3.7495801020287662,4.262624711237246,0.13781443311961294,2.707949194150179,39.021945707621946,0.00013070558581836393,COMPLETE
14,0.05745,0.24116838720364758,2.126414566817717,1.2514228997847865,39.237613443017324,8.680295911464182,11.19024988081793,1.959834981353754e-06,COMPLETE
15,0.05635,0.31783771155764245,5.07985354852306,1.5455685639813577,1.9377994539588752,53.06163757643024,0.07549604599441283,4.443488697213951e-11,COMPLETE
16,0.0541,0.32643186927934226,3.8100689522949174,1.6585808018704573,0.6692662370797108,0.012367602403591714,46.83459773148538,8.404943762538142e-14,COMPLETE
17,0.05095,0.34649018316927416,3.518596375525721,2.5033277105189193,0.5606287050152496,0.054361423084864746,7.146903739304916,1.2038654211851023e-08,COMPLETE
18,0.051,0.34483348743368436,3.685860265729417,2.3627009950877245,0.8252494595473547,107.59872434463156,99.91758933651535,4.992838720342651e-13,COMPLETE
19,0.05355,0.39643329923316617,3.999286460242423,2.8036597183497527,0.014163043718649002,0.17740617781052795,12.491315660805293,6.338054654029837e-09,COMPLETE
20,0.07625,0.32472254311282106,1.3912626618467459,4.858983659361449,151.8245163187236,508.77693357446805,6.615790753010882,0.0017701480876021088,COMPLETE
21,0.07445,0.5237163401883369,4.958426658725357,3.3801923275388828,72.91096237472114,186.9306125540257,3.6008094906658137,0.00014186250895628115,COMPLETE
22,0.0716,0.4452395099064289,4.747987875347927,8.377992360274892,0.5276488664600528,1.3678245686806079,3.5939645009982053,4.993711499050975e-05,COMPLETE
23,0.0735,0.12648608624556443,2.9426164753918824,1.09673513268978,687.6639452288613,0.9057350711055674,0.014984805515844538,0.00014553753353913117,COMPLETE
24,0.0498,0.34647783641736296,4.3548083271808515,2.0117238004086353,1.0946066447217027,0.12480776742786713,34.574222073764446,8.720647859508846e-11,COMPLETE
25,0.06485,0.4901053543720888,3.4651180931236705,1.6279687987777078,1017.2965276733869,0.3710234766141632,80.46577679760097,9.152354487403374e-07,COMPLETE
