number,values_0,values_1,params_delta_deg,params_gamma,state
0,0.03558576569372251,0.20836955213236955,4.94881381903961,5.085963917037515,COMPLETE
1,0.045181927229108354,0.21393976624731564,4.995096669627318,4.961270459103806,COMPLETE
2,0.04358256697321072,0.20414573712918888,4.9246743808671765,5.01419760492382,COMPLETE
3,0.04638144742103159,0.22049788963977968,4.993194071656249,5.4878284698899655,COMPLETE
4,0.04438224710115954,0.19894520275201208,4.90613386679697,4.699641906545769,COMPLETE
5,0.047181127548980406,0.20016434836312247,4.986526481981217,5.009295763254992,COMPLETE
6,0.045981607357057176,0.21063355728696043,4.968571444823438,4.898482256936151,COMPLETE
7,0.03598560575769692,0.20981604478282637,4.97042988558935,5.1692474662129,COMPLETE
8,0.03478608556577369,0.20585335331147905,4.965370736065335,4.927788503455438,COMPLETE
9,0.043982407037185124,0.20711208302568773,4.93816020522175,4.630713768153161,COMPLETE
