number,values_0,values_1,params_delta_deg,params_gamma,state
0,0.1254,0.18377073176137518,4.927450036134456,5.459194545179286,COMPLETE
1,0.1012,0.19602051742161009,4.929400598028983,5.075169625010804,COMPLETE
2,0.1158,0.18627384222987992,4.939002514985072,5.114992872848823,COMPLETE
3,0.1192,0.1933305407343895,4.990594664315137,4.728908189651816,COMPLETE
4,0.132,0.0880746843353737,4.937061921202248,4.516246956231047,COMPLETE
5,0.1174,0.19335168996338759,4.989583869641358,4.6925479939837125,COMPLETE
6,0.1234,0.19009017931538078,4.956593779938355,5.0982376060966015,COMPLETE
7,0.111,0.19123264201067844,4.9880960302878865,4.944334530321478,COMPLETE
8,0.1046,0.18858298834424933,4.9059301620070315,5.341935225673654,COMPLETE
9,0.101,0.14888700501386457,4.907502392272786,4.689763611321417,COMPLETE
