timestamp,study_name,number,calculated_cost,values_lap count,values_low_scale_rate,values_mean_scaling,values_mean_trajectory_error,values_violation_rate,params_gamma,params_lambda_acc,params_lambda_pos,params_lambda_scaling,params_lambda_vel,user_attrs_covariance_matrix,user_attrs_d_mean,user_attrs_h_mean,user_attrs_v_rel_mean
2026-03-12 19:51:29,GPR_Optimization_h_mean_-0.1_v_mean_0.2_20260312-185403,99,3.3800406520612243,21.129037295990443,0.0,0.9999980688986073,0.007690790497456392,0.8524328961882583,2.3022796366300255,3.058486318784815e-12,2505.969829152449,54.939886991430484,0.005026958086310321,"[[0.01052100897048877, 0.00637265161165124, 0.0025798493468822863], [0.00637265161165124, 0.010625768478596535, -0.010387735984432952], [0.0025798493468822863, -0.010387735984432952, 0.024272675832828085]]",0.3736771163920426,-0.12788125825601285,-0.41806842385109927
2026-03-12 19:51:29,GPR_Optimization_h_mean_-0.1_v_mean_0.2_20260312-185403,455,3.380014017011153,21.12907688793184,0.0,0.9999999366769865,0.006728988057769557,0.85424058522953,4.289771151427583,8.046331103420763e-10,11565.015748745402,684.1768019856664,0.0018224076315964896,"[[0.010351426543178627, 0.006346668747804005, 0.0023347092827233572], [0.006346668747804005, 0.010657277452801933, -0.010321626327235559], [0.0023347092827233572, -0.010321626327235559, 0.023340600636697028]]",0.372931173283347,-0.12979992597838638,-0.420035711621983
2026-03-12 19:51:29,GPR_Optimization_h_mean_-0.1_v_mean_0.2_20260312-185403,670,3.380014017011153,21.12907688793184,0.0,0.9999999366769865,0.006728988057769557,0.85424058522953,4.289771151427583,8.046331103420763e-10,11565.015748745402,684.1768019856664,0.0018224076315964896,"[[0.010351426543178627, 0.006346668747804005, 0.0023347092827233572], [0.006346668747804005, 0.010657277452801933, -0.010321626327235559], [0.0023347092827233572, -0.010321626327235559, 0.023340600636697028]]",0.372931173283347,-0.12979992597838638,-0.420035711621983
2026-03-12 19:51:29,GPR_Optimization_h_mean_-0.1_v_mean_0.2_20260312-185403,536,3.379090708118739,21.129073260624477,0.0,0.9999997707000475,0.007354795392980326,0.854771272293583,2.563839005700834,4.2888464916659766e-08,84175.073787405,182.0621534748922,0.0018224076315964896,"[[0.010665139844361514, 0.006579884421031011, 0.0023150319008257607], [0.006579884421031011, 0.010673789616721168, -0.010033983358784004], [0.0023150319008257607, -0.010033983358784004, 0.022646385230140273]]",0.3738741183982774,-0.12948695077656122,-0.42121743333619516
2026-03-12 19:51:29,GPR_Optimization_h_mean_-0.1_v_mean_0.2_20260312-185403,1884,3.3788975385954743,21.12907181313382,0.0,0.999999701581211,0.007054090178811483,0.8556682780690407,4.55113283816446,3.847239389610096e-11,3806.4194386128206,462.81121690475254,0.006016459538681406,"[[0.010415279185633076, 0.006326196132973755, 0.00249007952197657], [0.006326196132973755, 0.01066284119953417, -0.010358375315250063], [0.00249007952197657, -0.010358375315250063, 0.023685800136928774]]",0.3724003854913875,-0.12888776791978712,-0.4179297273714433
2026-03-12 20:49:03,GPR_Optimization_h_mean_-0.1_v_mean_0.5_20260312-195129,589,3.3814732506609935,20.259068558479083,0.042128052732462735,0.9583217771798441,0.011752223497869236,0.8599500806707393,3.256433527541565,4.073377311521589e-09,906.0614675502183,994.1523490186732,0.0016333510383821006,"[[0.010305905960524915, 0.005925070180707132, 0.002993838025840936], [0.005925070180707132, 0.011957044979247253, -0.014719608756937529], [0.002993838025840936, -0.014719608756937529, 0.03516871405370223]]",0.5108336809782567,-0.1309574561828273,-0.6988329951044283
2026-03-12 20:49:03,GPR_Optimization_h_mean_-0.1_v_mean_0.5_20260312-195129,148,3.373980960167179,20.221650339649017,0.0476878612716763,0.95329696238657,0.011531404132109945,0.8543077346545555,3.8686035269157526,1.2949767494495846e-12,372.82493817521635,66.6689156085243,0.002149974226416964,"[[0.01013995422738999, 0.0056822030527165215, 0.003337511066265698], [0.0056822030527165215, 0.012151448437221381, -0.015750342082967786], [0.003337511066265698, -0.015750342082967786, 0.03874276483664531]]",0.5080376465751942,-0.12908920627600107,-0.6907309059602419
2026-03-12 20:49:03,GPR_Optimization_h_mean_-0.1_v_mean_0.5_20260312-195129,276,3.3690527751972037,20.12547737886176,0.04728374396502829,0.9527742629670065,0.011284064844691584,0.8588266216608795,3.940502379487454,1.678772364911657e-13,778.2070937503568,130.62071442238337,0.0016130282887163881,"[[0.010231781132636075, 0.00578124954747657, 0.003237568455744019], [0.00578124954747657, 0.012038232198697277, -0.015173333039555356], [0.003237568455744019, -0.015173333039555356, 0.03680273805454234]]",0.5098354991478271,-0.13057736016426164,-0.6961204670911614
2026-03-12 20:49:03,GPR_Optimization_h_mean_-0.1_v_mean_0.5_20260312-195129,1784,3.3681812498526127,20.125037234240683,0.04999033869765644,0.950238949045209,0.011286279148792247,0.8513125569326745,3.524458983242332,3.5764527209845416e-14,990.3522011583684,15.955294931723305,0.0020258247251089727,"[[0.010222959381934404, 0.0057451568249360955, 0.0033422000909584674], [0.0057451568249360955, 0.012077758896726154, -0.01548288612956862], [0.0033422000909584674, -0.01548288612956862, 0.0382881766473553]]",0.5082479887048053,-0.13040227292636133,-0.6926158684034979
2026-03-12 20:49:03,GPR_Optimization_h_mean_-0.1_v_mean_0.5_20260312-195129,1845,3.3681448835509173,20.101102911658643,0.04889084482829755,0.9516399328414213,0.01149465745090026,0.855376617661216,2.940448985927984,8.339745067122969e-14,641.7769541425627,557.6454848077504,0.0016333510383821006,"[[0.010262963696093997, 0.005785763162654322, 0.0032875934548982585], [0.005785763162654322, 0.012208825300471871, -0.015621983916109404], [0.0032875934548982585, -0.015621983916109404, 0.03813461401186664]]",0.5085810099662461,-0.1305337759426065,-0.6935340178340538
2026-03-12 21:46:45,GPR_Optimization_h_mean_-0.1_v_mean_0.8_20260312-204903,487,3.360118239227446,18.10652001381963,0.14758584650081824,0.8559163769179723,0.015942313897792517,0.8695765776915989,3.0760974941708445,1.9381292526696532e-11,8873.338989744088,18.929676435949073,0.007404086657251369,"[[0.0099260410137428, 0.006028967813170587, 0.002191644266116595], [0.006028967813170587, 0.013771122251629042, -0.016693720673745072], [0.002191644266116595, -0.016693720673745072, 0.0338033523658303]]",0.639639688339762,-0.13593813564461077,-0.9728885474284478
2026-03-12 21:46:45,GPR_Optimization_h_mean_-0.1_v_mean_0.8_20260312-204903,285,3.360118239227446,18.10652001381963,0.14758584650081824,0.8559163769179723,0.015942313897792517,0.8695765776915989,3.0760974941708445,1.9381292526696532e-11,8873.338989744088,18.929676435949073,0.007404086657251369,"[[0.0099260410137428, 0.006028967813170587, 0.002191644266116595], [0.006028967813170587, 0.013771122251629042, -0.016693720673745072], [0.002191644266116595, -0.016693720673745072, 0.0338033523658303]]",0.639639688339762,-0.13593813564461077,-0.9728885474284478
2026-03-12 21:46:45,GPR_Optimization_h_mean_-0.1_v_mean_0.8_20260312-204903,1763,3.360118239227446,18.10652001381963,0.14758584650081824,0.8559163769179723,0.015942313897792517,0.8695765776915989,3.0760974941708445,1.9381292526696532e-11,8873.338989744088,18.929676435949073,0.007404086657251369,"[[0.0099260410137428, 0.006028967813170587, 0.002191644266116595], [0.006028967813170587, 0.013771122251629042, -0.016693720673745072], [0.002191644266116595, -0.016693720673745072, 0.0338033523658303]]",0.639639688339762,-0.13593813564461077,-0.9728885474284478
2026-03-12 21:46:45,GPR_Optimization_h_mean_-0.1_v_mean_0.8_20260312-204903,1460,3.356172187960553,18.178592829256615,0.1488340942019081,0.8549910606048464,0.01722851277844745,0.8727891528389055,2.528741081052124,5.585612171147215e-15,1166.0332109735195,162.95183982715892,0.008544510117096912,"[[0.009761998139449425, 0.006033457524981163, 0.002037287850864331], [0.006033457524981163, 0.013954936485050164, -0.017124675301117113], [0.002037287850864331, -0.017124675301117113, 0.03478963180310144]]",0.6345734155928712,-0.1369301832130992,-0.9657077599695338
2026-03-12 21:46:45,GPR_Optimization_h_mean_-0.1_v_mean_0.8_20260312-204903,1308,3.3495503101739934,18.075589780265176,0.15264588022177086,0.8509403882319528,0.01604806184767775,0.866361091288357,2.7173660814002494,1.399608162959231e-09,1166.0332109735195,978.5729780709347,0.006874636670397486,"[[0.009858975726618126, 0.006027628784536267, 0.0022198714256913142], [0.006027628784536267, 0.015316594569322734, -0.019725826398054713], [0.0022198714256913142, -0.019725826398054713, 0.040273650612227097]]",0.6320470809027177,-0.13652535706212038,-0.9601882330841482
2026-03-12 22:44:23,GPR_Optimization_h_mean_-0.1_v_mean_1.1_20260312-214645,1052,3.369482293172732,15.26723175936503,0.31819484651322766,0.7005174041178733,0.025708560159547852,0.8446645074378744,2.8073900365515687,6.717517954990921e-14,4598.507365284788,670.2401750925796,0.004490269909383089,"[[0.010108182408120413, 0.006776701127687585, 0.0016650607486464125], [0.006776701127687585, 0.01769639665968257, -0.021666421329654965], [0.0016650607486464125, -0.021666421329654965, 0.040359717105064793]]",0.7601112677453457,-0.1375293485819073,-1.2271776908808498
2026-03-12 22:44:23,GPR_Optimization_h_mean_-0.1_v_mean_1.1_20260312-214645,125,3.321136467778569,15.017245845606231,0.34300271064246485,0.6817964206658165,0.023294388073316248,0.8285341242921818,2.748041716184473,2.711233251893058e-12,85617.51273225893,63.212613087331434,0.6584100730759268,"[[0.010024199870933151, 0.0063804707424251796, 0.002405474785614821], [0.0063804707424251796, 0.019999083014175946, -0.026497702063008385], [0.002405474785614821, -0.026497702063008385, 0.05064331758478584]]",0.7441806317296312,-0.1383160803323424,-1.2002132452420489
2026-03-12 22:44:23,GPR_Optimization_h_mean_-0.1_v_mean_1.1_20260312-214645,1830,3.321136467778569,15.017245845606231,0.34300271064246485,0.6817964206658165,0.023294388073316248,0.8285341242921818,2.748041716184473,2.711233251893058e-12,85617.51273225893,63.212613087331434,0.6584100730759268,"[[0.010024199870933151, 0.0063804707424251796, 0.002405474785614821], [0.0063804707424251796, 0.019999083014175946, -0.026497702063008385], [0.002405474785614821, -0.026497702063008385, 0.05064331758478584]]",0.7441806317296312,-0.1383160803323424,-1.2002132452420489
2026-03-12 22:44:23,GPR_Optimization_h_mean_-0.1_v_mean_1.1_20260312-214645,1581,3.321136467778569,15.017245845606231,0.34300271064246485,0.6817964206658165,0.023294388073316248,0.8285341242921818,2.748041716184473,2.711233251893058e-12,85617.51273225893,63.212613087331434,0.6584100730759268,"[[0.010024199870933151, 0.0063804707424251796, 0.002405474785614821], [0.0063804707424251796, 0.019999083014175946, -0.026497702063008385], [0.002405474785614821, -0.026497702063008385, 0.05064331758478584]]",0.7441806317296312,-0.1383160803323424,-1.2002132452420489
2026-03-12 22:44:23,GPR_Optimization_h_mean_-0.1_v_mean_1.1_20260312-214645,1865,3.312311585558468,14.893131311938797,0.3451306076093129,0.6794030105436463,0.0233229348980879,0.827626348665531,2.868641481892004,3.937827074562863e-13,34308.8506018085,75.46272557729213,0.4172922623815965,"[[0.010040425471321574, 0.006606236040496636, 0.0021018213632303866], [0.006606236040496636, 0.02159069111988013, -0.029092229481424828], [0.0021018213632303866, -0.029092229481424828, 0.05509949598485039]]",0.7407535269434807,-0.13869678917094944,-1.194910679876914
2026-03-12 23:42:11,GPR_Optimization_h_mean_-0.1_v_mean_1.4_20260312-224423,351,3.4443088711082503,9.12476385853399,0.6517119244391971,0.40749135643224,0.028370228050954613,0.697981672007646,3.2308759085973238,7.978032139836705e-09,2048.2111274298427,61.158159135127335,0.0071364559177565,"[[0.010395823918091227, 0.005956415901203908, 0.004857737780878476], [0.005956415901203908, 0.02525806513047721, -0.03653859585154761], [0.004857737780878476, -0.03653859585154761, 0.07427008283253837]]",0.853177050919607,-0.1261793226043542,-1.4116473857012422
2026-03-12 23:42:11,GPR_Optimization_h_mean_-0.1_v_mean_1.4_20260312-224423,836,3.410745376200527,8.954386611651245,0.6594618560700529,0.4022257590823764,0.028819501882247734,0.701291323745393,3.2428852062250493,1.1154992225911016e-12,4017.9180648917577,149.89591525806955,0.037739126986260356,"[[0.010201102676373692, 0.0060787514944456895, 0.004367868907272367], [0.0060787514944456895, 0.02462249389572879, -0.035230668500013405], [0.004367868907272367, -0.035230668500013405, 0.07083607420606358]]",0.850452298322561,-0.1266397270146999,-1.4084614974918523
2026-03-12 23:42:11,GPR_Optimization_h_mean_-0.1_v_mean_1.4_20260312-224423,1050,3.395078511943625,8.85204912013657,0.6652493181341352,0.39569479911602995,0.025997747095906354,0.6679488076089237,3.5449826021918356,1.061370507100516e-07,1631.5968690706345,36.175939422272165,0.01968991485849224,"[[0.010255716712928041, 0.005841977000724541, 0.004964550679780455], [0.005841977000724541, 0.026183753049068146, -0.03862664353508068], [0.004964550679780455, -0.03862664353508068, 0.07840626669952913]]",0.8429823744520558,-0.12368720355791932,-1.3896053179116914
2026-03-12 23:42:11,GPR_Optimization_h_mean_-0.1_v_mean_1.4_20260312-224423,535,3.3871082360367843,8.941645768565646,0.6646005704119956,0.3993865785879671,0.03392601922507681,0.7101205771891678,3.0523825743127113,3.9826038076316315e-09,4017.9180648917577,36.175939422272165,0.010013471986509054,"[[0.010475188832141876, 0.006206977879870819, 0.004399048423833576], [0.006206977879870819, 0.023153805746495965, -0.032376487547067886], [0.004399048423833576, -0.032376487547067886, 0.0654530547197312]]",0.8608840322641758,-0.12544251507798118,-1.424785236667965
